#EntrezGeneIDA	GeneSymbolA	EntrezGeneIDB	GeneSymbolB	Y2H
56159	TEX11	114327	EFHC1	+
10474	TADA3L	112869	LOC112869	+
4103	MAGEA4	7381	UQCRB	+
10054	UBA2	10055	SAE1	+
2771	GNAI2	4188	MDFI	+
2571	GAD1	23498	HAAO	+
22976	PAXIP1	127557	ZBTB8	+
7431	VIM	79050	MGC3162	+
8623	ASMTL	8623	ASMTL	+
23641	LDOC1	121536	AEBP2	+
10534	SSSCA1	151254	ALS2CR11	+
4188	MDFI	79088	ZNF426	+
11030	RBPMS	84528	PEPP-2	+
9099	USP2	29911	HOOK2	+
1312	COMT	9319	TRIP13	+
408	ARRB1	23099	ZNF297B	+
4188	MDFI	85019	C18orf45	+
862	RUNX1T1	51225	ABI3	+
3880	KRT19	9814	SFI1	+
54927	CHCHD3	83755	KRTAP4-12	+
54472	TOLLIP	84528	PEPP-2	+
60491	NIF3L1	222389	C10orf30	+
22981	KIAA0980	80125	FLJ32855	+
84680	PHACS	84680	PHACS	+
11170	TU3A	30008	EFEMP2	+
3866	KRT15	149371	EXOC8	+
6426	SFRS1	84708	LNX	+
55758	RCOR3	80321	Cep70	+
7718	ZNF165	11143	MYST2	+
57596	KIAA1446	283987	C17orf28	+
55068	FLJ10094	60491	NIF3L1	+
5359	PLSCR1	59277	NTN4	+
8379	MAD1L1	22981	KIAA0980	+
331	BIRC4	55093	FLJ10204	+
138046	LOC138046	220766	MGC26143	+
6999	TDO2	8623	ASMTL	+
10656	KHDRBS3	22893	BAHD1	+
51729	WBP11	84816	RTN4IP1	+
27316	RBMX	80125	FLJ32855	+
7321	UBE2D1	56658	TRIM39	+
7704	ZBTB16	8405	SPOP	+
2130	EWSR1	414061	HCG3	+
27095	TRAPPC3	79090	MGC2650	+
4110	MAGEA11	9167	COX7A2L	+
11007	DIPA	27229	76P	+
11052	CPSF6	11059	WWP1	+
81628	TSC22D4	122786	C14orf31	+
56159	TEX11	143379	C10orf82	+
10063	COX17	84056	KATNAL1	+
7414	VCL	10152	ABI2	+
327	APEH	327	APEH	+
90933	TRIM41	127557	ZBTB8	+
2130	EWSR1	2194	FASN	+
56952	PRTFDC1	80308	PP591	+
4188	MDFI	6548	SLC9A1	+
59349	KLHL12	80306	MED28	+
7186	TRAF2	27301	APEX2	+
79873	FLJ22494	92610	TIFA	+
4110	MAGEA11	60491	NIF3L1	+
11284	PNKP	83755	KRTAP4-12	+
4188	MDFI	6495	SIX1	+
6271	S100A1	6286	S100P	+
5515	PPP2CA	9319	TRIP13	+
5933	RBL1	57596	KIAA1446	+
9146	HGS	80318	GKAP1	+
7360	UGP2	10425	ARIH2	+
22954	TRIM32	29979	UBQLN1	+
1856	DVL2	151871	DPPA2	+
9802	DAZAP2	10254	STAM2	+
373	TRIM23	79173	MGC11271	+
4687	NCF1	114088	TRIM9	+
6304	SATB1	7329	UBE2I	+
4591	TRIM37	9513	FXR2	+
1271	CNTFR	10513	APPBP2	+
5359	PLSCR1	25844	C6orf109	+
3880	KRT19	10152	ABI2	+
9721	KIAA0514	10253	SPRY2	+
4782	NFIC	23174	ZCCHC14	+
7205	TRIP6	9883	POM121	+
5866	RAB3IL1	79873	FLJ22494	+
2130	EWSR1	54475	FLJ10458	+
4188	MDFI	26511	CHIC2	+
3190	HNRPK	85362	C20orf158	+
2130	EWSR1	55329	MNS1	+
5300	PIN1	10743	RAI1	+
4782	NFIC	55888	ZNF167	+
9513	FXR2	10197	PSME3	+
7031	TFF1	29979	UBQLN1	+
2130	EWSR1	158471	C9orf65	+
23265	EXOC7	79036	MGC2749	+
51127	TRIM17	56658	TRIM39	+
10241	NDP52	51588	PIAS4	+
5359	PLSCR1	284440	MGC39821	+
9491	PSMF1	10656	KHDRBS3	+
55663	FLJ20626	84838	ZNF496	+
7186	TRAF2	7704	ZBTB16	+
30008	EFEMP2	57088	PLSCR4	+
2130	EWSR1	11060	WWP2	+
84970	MGC15882	93487	C14orf32	+
89885	FATE1	138065	RNF183	+
65220	FLJ13052	84708	LNX	+
4188	MDFI	4188	MDFI	+
7186	TRAF2	9513	FXR2	+
79734	KCTD17	201965	MGC10198	+
2801	GOLGA2	3983	ABLIM1	+
9319	TRIP13	200523	FLJ25369	+
3609	ILF3	4110	MAGEA11	+
7138	TNNT1	11007	DIPA	+
8676	STX11	10629	TAF6L	+
11007	DIPA	54474	KRT20	+
7186	TRAF2	51224	TCEB3B	+
9513	FXR2	138046	LOC138046	+
5704	PSMC4	5705	PSMC5	+
170082	MGC17403	541468	LOC541468	+
4110	MAGEA11	8715	NOL4	+
27316	RBMX	83640	MGC2560	+
6418	SET	80764	THAP7	+
64112	MOAP1	151871	DPPA2	+
868	CBLB	26003	GORASP2	+
9391	WDR39	51647	CGI-128	+
4188	MDFI	414157	C10orf62	+
7205	TRIP6	54855	FAM46C	+
57144	PAK7	84445	LZTS2	+
868	CBLB	1407	CRY1	+
3190	HNRPK	9402	GRAP2	+
7251	TSG101	8495	PPFIBP2	+
7186	TRAF2	9825	SPATA2	+
4207	MEF2B	56159	TEX11	+
2810	SFN	79666	PLEKHF2	+
11143	MYST2	29911	HOOK2	+
3983	ABLIM1	57596	KIAA1446	+
51517	NCKIPSD	63948	DMRTB1	+
9189	ZBED1	60491	NIF3L1	+
2059	EPS8	11007	DIPA	+
3190	HNRPK	3190	HNRPK	+
4110	MAGEA11	23059	CLUAP1	+
30008	EFEMP2	54557	SGTB	+
6303	SAT	117246	FTSJ3	+
81628	TSC22D4	84080	C16orf48	+
373	TRIM23	2669	GEM	+
9025	RNF8	80817	KIAA1712	+
58500	ZNF250	83755	KRTAP4-12	+
5092	PCBD1	9513	FXR2	+
10743	RAI1	54997	TSC	+
1173	AP2M1	9513	FXR2	+
10513	APPBP2	79594	FLJ12875	+
4591	TRIM37	11170	TU3A	+
11030	RBPMS	11135	CDC42EP1	+
87	ACTN1	7518	XRCC4	+
7186	TRAF2	170082	MGC17403	+
3866	KRT15	84260	MGC10854	+
9513	FXR2	55145	THAP1	+
51562	MBIP	51562	MBIP	+
26128	KIAA1279	79959	C18orf9	+
1602	DACH1	7329	UBE2I	+
9319	TRIP13	79754	ASB13	+
4034	LRCH4	57142	RTN4	+
10241	NDP52	80125	FLJ32855	+
4110	MAGEA11	10495	COVA1	+
10534	SSSCA1	80022	MYO15B	+
9319	TRIP13	9319	TRIP13	+
163	AP2B1	79132	LGP2	+
23265	EXOC7	90410	IFT20	+
9046	DOK2	26128	KIAA1279	+
79036	MGC2749	79873	FLJ22494	+
9802	DAZAP2	11201	POLI	+
2130	EWSR1	4707	NDUFB1	+
5987	RFP	85302	FBF1	+
9404	LPXN	79088	ZNF426	+
83755	KRTAP4-12	286301	MGC42630	+
407	ARR3	27232	GNMT	+
163	AP2B1	4292	MLH1	+
56159	TEX11	84330	MGC15716	+
9319	TRIP13	9587	MAD2L1BP	+
9814	SFI1	55698	FLJ10324	+
331	BIRC4	140735	Dlc2	+
10656	KHDRBS3	27316	RBMX	+
5573	PRKAR1A	84281	MGC13057	+
2670	GFAP	9124	PDLIM1	+
4188	MDFI	164592	FLJ36046	+
5682	PSMA1	10241	NDP52	+
5830	PEX5	23410	SIRT3	+
9129	PRPF3	11007	DIPA	+
2801	GOLGA2	58500	ZNF250	+
665	BNIP3L	2130	EWSR1	+
7329	UBE2I	23386	NUDCD3	+
3306	HSPA2	23640	HSPBP1	+
2563	GABRD	29979	UBQLN1	+
3021	H3F3B	10919	BAT8	+
8572	PDLIM4	11030	RBPMS	+
5300	PIN1	23062	GGA2	+
11007	DIPA	51138	COPS4	+
5866	RAB3IL1	5866	RAB3IL1	+
2670	GFAP	9729	KIAA0408	+
3866	KRT15	112869	LOC112869	+
11284	PNKP	58529	MYOZ1	+
5987	RFP	7704	ZBTB16	+
11252	PACSIN2	11252	PACSIN2	+
9810	RNF40	84767	TRIM51	+
3866	KRT15	79696	C14orf140	+
80028	FBXL18	83755	KRTAP4-12	+
163	AP2B1	8907	AP1M1	+
55068	FLJ10094	84708	LNX	+
11067	C10orf10	83878	USHBP1	+
8341	HIST1H2BN	56647	BCCIP	+
5359	PLSCR1	22822	PHLDA1	+
2130	EWSR1	387338	NSUN4	+
11170	TU3A	23641	LDOC1	+
4188	MDFI	9721	KIAA0514	+
113675	SDSL	113675	SDSL	+
329	BIRC2	3728	JUP	+
71	ACTG1	1072	CFL1	+
51684	SUFU	169792	GLIS3	+
4110	MAGEA11	8644	AKR1C3	+
4188	MDFI	9841	ZBTB24	+
10567	RABAC1	51534	C6orf55	+
11007	DIPA	85302	FBF1	+
5108	PCM1	84289	ING5	+
7186	TRAF2	9491	PSMF1	+
10513	APPBP2	493861	LOC493861	+
9146	HGS	83878	USHBP1	+
22893	BAHD1	57596	KIAA1446	+
4110	MAGEA11	79706	PRKRIP1	+
10127	ZNF263	30008	EFEMP2	+
29911	HOOK2	55388	MCM10	+
1854	DUT	9825	SPATA2	+
54550	EFCBP2	79172	MGC11266	+
8241	RBM10	220108	FLJ30707	+
27316	RBMX	84708	LNX	+
10539	TXNL2	65220	FLJ13052	+
3854	KRT6B	3880	KRT19	+
8061	FOSL1	23641	LDOC1	+
7186	TRAF2	84080	C16orf48	+
2130	EWSR1	11103	HRB2	+
9513	FXR2	64769	FLJ11730	+
11007	DIPA	80764	THAP7	+
4110	MAGEA11	9729	KIAA0408	+
5725	PTBP1	10241	NDP52	+
11007	DIPA	64769	FLJ11730	+
30008	EFEMP2	117144	CATSPER1	+
7186	TRAF2	51324	SPG21	+
11040	PIM2	51076	CUTC	+
90060	JM11	220766	MGC26143	+
9491	PSMF1	125170	SMCR7	+
5725	PTBP1	6626	SNRPA	+
84528	PEPP-2	113878	DTX2	+
10197	PSME3	79446	MGC4645	+
3866	KRT15	23641	LDOC1	+
9189	ZBED1	10597	SEDLP	+
4292	MLH1	23650	TRIM29	+
9491	PSMF1	29911	HOOK2	+
10241	NDP52	55684	C9orf86	+
11117	EMILIN1	66036	MTMR9	+
5359	PLSCR1	7536	SF1	+
11180	WDR6	23580	CDC42EP4	+
10262	SF3B4	26039	SS18L1	+
9363	RAB33A	10567	RABAC1	+
11143	MYST2	127557	ZBTB8	+
71	ACTG1	71	ACTG1	+
7186	TRAF2	54971	BANP	+
79801	SHCBP1	221302	C6orf113	+
10197	PSME3	54819	ZCCHC10	+
4188	MDFI	9729	KIAA0408	+
8861	LDB1	170463	SSBP4	+
9099	USP2	79656	FLJ11588	+
7251	TSG101	90678	LRSAM1	+
84528	PEPP-2	169966	FAM46D	+
4005	LMO2	6772	STAT1	+
54550	EFCBP2	55093	FLJ10204	+
10445	MCRS1	80817	KIAA1712	+
9319	TRIP13	51700	CYB5R2	+
8468	FKBP6	29922	NME7	+
7341	SUMO1	160140	MGC33948	+
23650	TRIM29	80705	TSGA10	+
7186	TRAF2	10758	C6orf4	+
4175	MCM6	26525	IL1F5	+
3866	KRT15	83878	USHBP1	+
51440	HPCAL4	113878	DTX2	+
1173	AP2M1	1856	DVL2	+
10403	KNTC2	26258	PLDN	+
22934	RPIA	84708	LNX	+
7186	TRAF2	60491	NIF3L1	+
5359	PLSCR1	80125	FLJ32855	+
10241	NDP52	27132	CPNE7	+
5706	PSMC6	11007	DIPA	+
3866	KRT15	84832	MGC12538	+
3104	HKR3	127557	ZBTB8	+
5108	PCM1	23392	KIAA0368	+
4282	MIF	26003	GORASP2	+
4830	NME1	4833	NME4	+
3866	KRT15	3875	KRT18	+
2130	EWSR1	11059	WWP1	+
6626	SNRPA	79002	MGC2803	+
25816	TNFAIP8	29079	MED4	+
9513	FXR2	11007	DIPA	+
10919	BAT8	84726	KIAA0515	+
59349	KLHL12	124460	SLIC1	+
10589	DRAP1	54107	POLE3	+
5552	PRG1	6449	SGTA	+
26128	KIAA1279	27332	ZNF638	+
163	AP2B1	4201	MEA	+
23214	XPO6	23636	NUP62	+
10534	SSSCA1	79025	MGC5356	+
80022	MYO15B	127557	ZBTB8	+
27335	EIF3S12	51386	EIF3S6IP	+
23641	LDOC1	79797	ZNF408	+
6810	STX4A	8674	VAMP4	+
27111	SDCBP2	92610	TIFA	+
468	ATF4	23641	LDOC1	+
9070	ASH2L	84661	LOC84661	+
54474	KRT20	54474	KRT20	+
11007	DIPA	147687	ZNF417	+
2189	FANCG	2553	GABPB2	+
2992	GYG	9883	POM121	+
9146	HGS	10919	BAT8	+
8227	DXYS155E	22981	KIAA0980	+
7186	TRAF2	9729	KIAA0408	+
22893	BAHD1	83755	KRTAP4-12	+
11338	U2AF2	26511	CHIC2	+
10403	KNTC2	59349	KLHL12	+
60491	NIF3L1	60491	NIF3L1	+
51224	TCEB3B	79036	MGC2749	+
30008	EFEMP2	55367	LRDD	+
54507	TSRC1	59277	NTN4	+
5359	PLSCR1	64115	PP2135	+
8773	SNAP23	10152	ABI2	+
9319	TRIP13	57559	AMSH-LP	+
11007	DIPA	153733	MGC39633	+
4110	MAGEA11	51534	C6orf55	+
4188	MDFI	164312	C20orf75	+
7186	TRAF2	11063	SOX30	+
84528	PEPP-2	85302	FBF1	+
9266	PSCD2	90060	JM11	+
2130	EWSR1	64777	FLJ22318	+
1026	CDKN1A	56159	TEX11	+
11007	DIPA	84707	BEX2	+
5359	PLSCR1	30008	EFEMP2	+
10458	BAIAP2	51517	NCKIPSD	+
9404	LPXN	51317	PHF21A	+
5866	RAB3IL1	8766	RAB11A	+
3434	IFIT1	3437	IFIT3	+
9189	ZBED1	11321	XAB1	+
8996	NOL3	140885	PTPNS1	+
6303	SAT	22980	KIAA1049	+
8812	CCNK	83878	USHBP1	+
60	ACTB	11034	DSTN	+
9319	TRIP13	81932	HDHD3	+
3853	KRT6A	51019	CGI-116	+
358	AQP1	4188	MDFI	+
677	ZFP36L1	1432	MAPK14	+
10813	UTP14A	22981	KIAA0980	+
11007	DIPA	54927	CHCHD3	+
7704	ZBTB16	55722	Cep72	+
51534	C6orf55	253980	KCTD13	+
3735	KARS	7965	JTV1	+
1856	DVL2	10445	MCRS1	+
9319	TRIP13	26086	GPSM1	+
6431	SFRS6	10921	RNPS1	+
4110	MAGEA11	10445	MCRS1	+
5601	MAPK9	80817	KIAA1712	+
7186	TRAF2	84708	LNX	+
6871	TADA2L	11170	TU3A	+
57820	CCNB1IP1	57820	CCNB1IP1	+
26128	KIAA1279	93474	ZNF670	+
3219	HOXB9	83755	KRTAP4-12	+
7329	UBE2I	10320	ZNFN1A1	+
10513	APPBP2	113655	LOC113655	+
55209	FLJ10707	151871	DPPA2	+
4188	MDFI	7376	NR1H2	+
11030	RBPMS	84970	MGC15882	+
9513	FXR2	414157	C10orf62	+
50619	DEF6	57596	KIAA1446	+
2130	EWSR1	6505	SLC1A1	+
11007	DIPA	51760	LOC51760	+
56906	THAP10	83755	KRTAP4-12	+
51019	CGI-116	57326	PBXIP1	+
2130	EWSR1	65997	RASL11B	+
9513	FXR2	80318	GKAP1	+
